Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Notes,GPX File
2016-11-20 14:38:10,Running,,14.72,1:12:36,4:56,12.16,1189.0,326,,,2016-11-20-1438.gpx
2016-11-08 21:04:17,Running,,14.23,1:15:04,5:17,11.37,1089.83518781726,0,,,
2016-11-05 12:03:03,Running,,11.69,56:41,4:51,12.37,865.0,107,,,2016-11-05-1203.gpx
2016-11-03 21:07:07,Running,,8.67,45:00,5:11,11.56,668.199746192893,0,,,
2016-11-01 13:00:04,Running,,10.34,1:02:03,6:00,9.99,824.0,209,,,2016-11-01-1300.gpx
2016-10-30 15:22:50,Running,,14.13,1:11:07,5:02,11.92,1140.0,300,,,2016-10-30-1522.gpx
2016-10-28 19:34:28,Running,,9.88,49:53,5:03,11.88,776.0,190,,,2016-10-28-1934.gpx
2016-10-20 21:25:47,Running,,7.60,37:36,4:57,12.13,595.752,0,,,
2016-10-15 18:11:03,Running,,20.66,1:55:21,5:35,10.74,1653.0,421,,,2016-10-15-1811.gpx
2016-10-12 21:28:29,Running,,7.04,35:00,4:58,12.07,551.325,0,,,
2016-10-10 19:25:10,Running,,11.48,57:08,4:59,12.05,922.0,244,,,2016-10-10-1925.gpx
2016-10-09 12:52:17,Rowing,,5.98,25:00,4:11,14.35,321.5,0,,,
2016-10-08 16:22:33,Running,,5.17,22:43,4:24,13.65,388.0,34,,,2016-10-08-1622.gpx
2016-10-03 21:22:21,Running,,10.00,48:38,4:52,12.34,786.4935,0,,,
2016-10-02 12:42:48,Running,,8.20,49:51,6:05,9.87,579.0,85,,,2016-10-02-1242.gpx
2016-09-30 20:07:28,Running,,10.47,50:24,4:49,12.46,825.0705,0,,,
2016-09-29 20:55:48,Running,,5.02,24:30,4:53,12.29,394.5525,0,,,
2016-09-24 19:02:09,Running,,4.03,20:04,4:59,12.05,315.43089912159,0,,,
2016-09-19 19:27:22,Running,,9.13,45:31,4:59,12.03,704.0,121,,,2016-09-19-1927.gpx
2016-09-17 13:18:59,Running,,13.58,1:06:02,4:52,12.33,1099.0,277,,,2016-09-17-1318.gpx
2016-09-12 20:46:05,Running,,4.04,18:45,4:38,12.93,319.6375,0,,,
2016-09-11 10:20:47,Running,,9.74,1:01:53,6:21,9.45,767.0,188,,,2016-09-11-1020.gpx
2016-09-09 20:40:04,Running,,5.00,22:36,4:31,13.27,390.641341176471,0,,,
2016-09-07 19:31:15,Running,,12.98,1:07:17,5:11,11.57,1047.0,262,,,2016-09-07-1931.gpx
2016-08-14 10:44:53,Running,,8.89,45:12,5:05,11.80,673.0,44,,,2016-08-14-1044.gpx
2016-08-05 19:23:05,Running,,9.17,45:08,4:55,12.19,717.0,165,,,2016-08-05-1923.gpx
2016-07-31 13:28:36,Running,,9.24,1:00:36,6:34,9.14,700.0,77,,,2016-07-31-1328.gpx
2016-07-30 14:15:26,Running,,14.72,1:00:24,4:06,14.62,978.0,122,,"GPS complètement fou au départ ",2016-07-30-1415.gpx
2016-07-24 18:29:25,Running,,12.05,1:01:50,5:08,11.69,972.0,270,,"Chaleur !",2016-07-24-1829.gpx
2016-07-23 15:41:44,Running,,6.38,30:00,4:42,12.76,504.975,0,,,
2016-07-12 19:40:30,Running,,14.32,1:08:46,4:48,12.49,1157.0,308,,,2016-07-12-1940.gpx
2016-07-10 15:56:08,Running,,9.11,48:49,5:22,11.19,694.0,67,,,2016-07-10-1556.gpx
2016-07-04 20:57:54,Running,,6.54,30:00,4:35,13.08,514.549411764706,0,,,
2016-06-29 19:32:46,Running,,12.81,1:02:17,4:52,12.34,1037.0,288,,,2016-06-29-1932.gpx
2016-06-23 20:41:59,Running,,5.36,25:00,4:40,12.86,424.875,0,,,
2016-06-18 13:55:47,Running,,12.24,1:08:00,5:33,10.80,965.0,204,,"Quel pied d'avoir ce cadre pour courir !",2016-06-18-1355.gpx
2016-06-10 12:09:52,Running,,7.42,45:53,6:11,9.69,591.0,161,,,2016-06-10-1209.gpx
2016-06-05 19:40:37,Running,,10.39,54:32,5:15,11.43,798.0,96,,,2016-06-05-1940.gpx
2016-05-29 09:07:46,Running,,10.17,43:25,4:16,14.04,773.0,99,,,2016-05-29-0907.gpx
2016-05-27 07:31:11,Running,,6.02,29:59,4:59,12.03,449.0,82,,,2016-05-27-0731.gpx
2016-05-25 07:35:42,Running,,8.80,43:57,5:00,12.01,700.0,163,,,2016-05-25-0735.gpx
2016-05-22 18:50:37,Running,,10.02,59:50,5:58,10.04,759.0,93,,,2016-05-22-1850.gpx
2016-05-20 19:16:58,Running,,11.86,53:48,4:32,13.22,873.0,111,,,2016-05-20-1916.gpx
2016-05-15 11:25:53,Running,,9.11,54:46,6:01,9.97,692.0,65,,,2016-05-15-1125.gpx
2016-05-13 07:32:25,Running,,9.91,45:22,4:35,13.10,746.0,142,,,2016-05-13-0732.gpx
2016-05-11 21:09:59,Running,,7.02,32:56,4:41,12.79,555.867,0,,,
2016-05-08 13:28:44,Running,,10.72,53:36,5:00,12.00,820.0,91,,,2016-05-08-1328.gpx
2016-05-07 15:29:05,Running,,3.17,15:27,4:52,12.31,249.21525,0,,,
2016-05-03 21:20:08,Running,,8.44,40:00,4:44,12.66,667.05,0,,,
